Key,en,es,ar,fr,hi
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم,Connexion utilisateur,उपयोगकर्ता लॉगिन
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد,Autorisation de courrier,मेल प्राधिकरण
Verification  code resend success,Verification code resend success,Reenvío exitoso del código de verificación,تمت إعادة إرسال رمز التحقق بنجاح,Code de vérification renvoyé avec succès,सत्यापन कोड पुनः भेजने में सफलता
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح,Informations KYC soumises avec succès,केवाईसी जानकारी सफलतापूर्वक सबमिट की गई
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة,Ajouter un nouveau billet,नया टिकट जोड़ें
Opps! Failed to upload attachment. Please try again.,Opps! Failed to upload attachment. Please try again.,¡Ups! No se pudo cargar el archivo adjunto. Por favor inténtalo de nuevo.,انتبه! فشل تحميل المرفق. يرجى المحاولة مرة أخرى.,Oups ! Échec du téléchargement de la pièce jointe. Veuillez réessayer.,उफ़! अनुलग्नक अपलोड करने में विफल. कृपया पुन: प्रयास करें।
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!,Ticket d'assistance créé avec succès !,समर्थन टिकट सफलतापूर्वक बनाया गया!
Support Conversation,Support Conversation,Conversación de apoyo,دعم المحادثة,Conversation d'assistance,समर्थन वार्तालाप
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.,Ce ticket d'assistance est fermé.,यह समर्थन टिकट बंद है.
SMS Sending faild! Please try again.,SMS Sending faild! Please try again.,¡Error en el envío de SMS! Por favor inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.,L'envoi du SMS a échoué ! Veuillez réessayer.,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें।
Withdraw Via,Withdraw Via,Retirar vía,السحب عن طريق,Retirer via,वाया वापस ले लो
Cookie allow successfully,Cookie allow successfully,Cookie permitida exitosamente,تم السماح بملف تعريف الارتباط بنجاح,Cookie autorisé avec succès,कुकी सफलतापूर्वक अनुमति देती है
Cookie decline successfully,Cookie decline successfully,Rechazo de cookies exitoso,تم رفض ملف تعريف الارتباط بنجاح,Refus des cookies avec succès,कुकी सफलतापूर्वक अस्वीकार हो गई
Can't change anything for demo application.,Can't change anything for demo application.,No se puede cambiar nada para la aplicación de demostración.,لا يمكن تغيير أي شيء للتطبيق التجريبي.,Je ne peux rien changer pour l'application de démonstration.,डेमो एप्लिकेशन के लिए कुछ भी नहीं बदला जा सकता.
"Sorry, You are unauthorized user","Sorry, You are unauthorized user","Lo sentimos, eres un usuario no autorizado",عذرا، أنت مستخدم غير مصرح به,"Désolé, vous êtes un utilisateur non autorisé","क्षमा करें, आप अनधिकृत उपयोगकर्ता हैं"
Please verify your KYC information before any transactional action,Please verify your KYC information before any transactional action,Verifique su información KYC antes de cualquier acción transaccional,يرجى التحقق من معلومات KYC الخاصة بك قبل أي إجراء معاملة,Veuillez vérifier vos informations KYC avant toute action transactionnelle,कृपया किसी भी लेनदेन संबंधी कार्रवाई से पहले अपनी केवाईसी जानकारी सत्यापित करें
Your KYC information is pending. Please wait for admin confirmation.,Your KYC information is pending. Please wait for admin confirmation.,Su información KYC está pendiente. Espere la confirmación del administrador.,معلومات KYC الخاصة بك في انتظار المراجعة. الرجاء الانتظار لتأكيد المشرف.,Vos informations KYC sont en attente. Veuillez attendre la confirmation de l'administrateur.,आपकी केवाईसी जानकारी लंबित है. कृपया व्यवस्थापक पुष्टि की प्रतीक्षा करें.
Account Is Deactivated,Account Is Deactivated,La cuenta está desactivada,تم تعطيل الحساب,Le compte est désactivé,खाता निष्क्रिय कर दिया गया है
Email verification is required,Email verification is required,Se requiere verificación por correo electrónico,مطلوب التحقق من البريد الإلكتروني,La vérification de l'e-mail est requise,ईमेल सत्यापन आवश्यक है
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Por favor verifique su dirección de correo. Revisa tu bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التحقق,Veuillez vérifier votre adresse e-mail. Vérifiez votre boîte de réception pour obtenir le code de vérification,कृपया अपना मेल पता सत्यापित करें. सत्यापन कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें
Balance Update From Admin,Balance Update From Admin,Actualización de saldo desde el administrador,تحديث الرصيد من المشرف,Mise à jour du solde depuis l'administrateur,एडमिन से बैलेंस अपडेट
Add Balance via,Add Balance via,Agregar saldo a través de,إضافة رصيد عبر,Ajouter un solde via,के माध्यम से शेष राशि जोड़ें
